locations[0],locations[1],locations[2],radii,colors[0],colors[1],colors[2],hatching,removing,cell_type,division_set,div_thresh
17.57730198401457,1.9788151185391831,9.474042860089682,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
13.903685777263584,3.317223887635121,8.430712688150695,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
18.453757294058896,7.579942130498663,2.2078742524741526,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
21.373002299984506,13.14585271019847,11.021804497741336,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
4.5292730724483485,11.88766093244443,11.272988004064945,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
16.69891455273114,10.935521323127665,12.106878386563285,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
3.0400093564856285,14.524628380346543,0.7101593548064922,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
18.44228504915347,1.246274654581803,2.776396083933091,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
15.711006881910894,1.9403043291181077,5.250352959966964,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
0.4743176054053079,13.494148654494015,1.3619492274364293,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
15.593467482595122,5.0995716642272635,10.90792254702961,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
2.460902847092828,14.587140183698125,8.136383214435725,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
18.77397017189097,28.61469097833058,2.0909976193364406,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
19.64688281256546,6.640349185746267,13.679805850574281,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
26.16561517570359,18.450538733087576,14.75294174044404,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
18.36896612052525,23.445167701247392,3.8885260118154514,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
29.51150832544844,15.163730942829302,10.41934187975082,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
10.66057699158376,16.34891553032632,10.056635641444874,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
17.69662187570449,19.801747073589254,8.072671004190626,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
23.544188401348176,24.01635086437294,4.114707037562994,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
24.735602049388813,9.47721463458928,5.278428967304327,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
16.84029157139479,18.07909465636795,13.01338752792824,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
24.061230040994914,4.101303154127668,0.0,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
4.4775528483461935,12.762110686994081,11.366912571245473,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
24.024212725562922,8.099645628893349,9.62971798140168,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
10.421922897295989,8.216797842638032,7.632126985564814,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
22.305303710853075,23.225820275467427,3.683159292739434,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
24.543016177953096,18.873252039966868,1.5065884815654238,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
23.970836671863108,6.05594067053702,6.437627413557334,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
5.448761762662066,12.256711860802033,2.1748843256223593,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
11.653351984908886,13.696655729997897,9.141471787625738,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
16.179753957279036,10.341313523753874,11.666896799408404,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
16.884948217601508,10.610399083247861,4.667781338122647,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
9.73041116011542,17.70780859854605,13.133502276542375,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
29.016735067352073,18.552499174935463,2.5458390405831492,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
18.28895238841401,5.705973916964554,4.511335069389929,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
4.428543584708247,15.359133910089968,2.024000977631893,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
20.232031186218702,7.6912652011818565,14.411606232517313,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
12.247343743133749,4.902642892985271,9.448152530827498,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
6.715268262943516,2.336107779456993,7.008188311713865,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
5.191059728087666,8.920715730600168,5.531921286687261,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
27.2320189897964,8.270744342866497,12.406702470774254,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
24.17959536059519,3.306952960229499,6.115683605787812,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
7.906216379198822,17.112644467608845,0.08475617997156816,0.5,255.0,50.0,50.0,0.0,0.0,1.0,0.0,1.0
13.320877747124083,28.869109269469313,3.108147457928888,0.5,255.0,255.0,0.0,0.0,0.0,2.0,0.0,1.0
